建築物名稱,轄管分局,地址_縣市別代碼,地址_行政區域代碼,里別,地址_鄰,地址_路,地址_非路,地址_街,地址_段,地址_巷,地址_弄,地址_衖,地址_號,地址_之號,地址_樓,地址_其他,地下樓層數,可容納人數,緯度,經度,備註
俬藏泱社區大樓,桃園分局,68000,68000010,中成里,6,正光路,N/A,N/A,N/A,N/A,N/A,N/A,582,N/A,N/A,N/A,1、2、3,1330,25.003928,121.293552,N/A
百俊吾?社區大樓,桃園分局,68000,68000010,南埔里,8,大興西路,N/A,N/A,三,N/A,N/A,N/A,151,N/A,N/A,N/A,1、2、3、4,2419,25.004986,121.290462,N/A
利晉學府社區大樓,桃園分局,68000,68000010,文中里,18,文中二路,N/A,N/A,N/A,N/A,N/A,N/A,67,N/A,二樓,N/A,1、2、3、4,903,24.997457,121.289694,N/A
竣崴企業總部,桃園分局,68000,68000010,龍祥里,0,N/A,N/A,裕和街,N/A,17,N/A,N/A,56,N/A,N/A,N/A,1,502,24.98171,121.273544,N/A
中路四號社會住宅,桃園分局,68000,68000010,中埔里,6,N/A,N/A,崇法街,N/A,N/A,N/A,N/A,68,4,七樓,N/A,1、2、3,3323,25.007633,121.286881,N/A
銘鑄富登社區大樓,桃園分局,68000,68000010,福元里,6,N/A,N/A,民富二街,N/A,8,N/A,N/A,58,N/A,N/A,N/A,1、2,627,25.004973,121.318276,N/A
昭陽天匯社區大樓,桃園分局,68000,68000010,青溪里,15,N/A,N/A,中央街,N/A,N/A,N/A,N/A,200,N/A,N/A,N/A,1、2、3,1519,25.002869,121.315157,N/A
益展城心社區大樓,桃園分局,68000,68000010,東埔里,10,N/A,N/A,正康二街,N/A,N/A,N/A,N/A,72,N/A,N/A,N/A,1、2,422,25.001909,121.308562,N/A
昭揚大和社區大樓,桃園分局,68000,68000010,中正里,23,正光路,N/A,N/A,N/A,N/A,N/A,N/A,180,N/A,N/A,N/A,1、2、3、4,1022,24.996776,121.295371,N/A
天?社區大樓,桃園分局,68000,68000010,汴洲里,1,N/A,N/A,水岸街,N/A,N/A,N/A,N/A,2,N/A,2樓,N/A,1、2、3、4,1359,25.028459,121.296125,N/A
宜誠吾界社區大樓,桃園分局,68000,68000010,大有里,17,大有路,N/A,N/A,N/A,N/A,N/A,N/A,308,N/A,6樓,N/A,1,191,25.010255,121.319833,N/A
永恆之藝社區大樓,桃園分局,68000,68000010,汴洲里,1,有恆路,N/A,N/A,N/A,N/A,N/A,N/A,257,1,N/A,N/A,1、2、3,552,25.031382,121.296741,N/A
